channel_acq,test_coupon,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,trans_after,revenue_after, prediction_using_neural_network
1.0,1.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.016510406509041786
3.0,0.0,0.0,0.0,2.0,14.0,1.0,0.0,0.0,0.2448086142539978
1.0,1.0,2.0,182.97,5.0,22.0,0.0,0.0,0.0,0.008270170539617538
2.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.04263852909207344
4.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.4867113530635834
2.0,1.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.01655411720275879
3.0,0.0,1.0,59.99,5.0,10.0,0.0,0.0,0.0,0.023905953392386436
1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.01964283175766468
1.0,1.0,6.0,65.99,6.0,12.0,0.0,0.0,0.0,0.05606108531355858
4.0,1.0,5.0,55.99,4.0,18.0,0.0,0.0,0.0,0.22557781636714935
2.0,0.0,2.0,56.49,7.0,17.0,1.0,0.0,0.0,0.06640342622995377
3.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.04519633948802948
1.0,1.0,4.0,76.99,1.0,14.0,0.0,0.0,0.0,0.07948892563581467
4.0,0.0,9.0,65.49,5.0,10.0,0.0,0.0,0.0,0.6795788407325745
1.0,1.0,3.0,60.99,0.0,21.0,1.0,0.0,0.0,0.2812764048576355
5.0,1.0,9.0,49.49,3.0,25.0,1.0,1.0,39.592,0.9822610020637512
5.0,1.0,6.0,73.49,4.0,8.0,0.0,0.0,0.0,0.48491567373275757
1.0,1.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,0.04220711067318916
1.0,1.0,2.0,143.98,5.0,15.0,1.0,0.0,0.0,0.04455481842160225
1.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.034214187413454056
4.0,0.0,2.0,77.99,0.0,15.0,0.0,0.0,0.0,0.2126588225364685
1.0,1.0,3.0,49.99,1.0,17.0,0.0,0.0,0.0,0.054822977632284164
2.0,0.0,9.0,107.98,6.0,9.0,1.0,1.0,53.99,0.7048077583312988
2.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,0.0,0.029485119506716728
3.0,1.0,8.0,94.98,2.0,11.0,0.0,2.0,75.984,0.5730122923851013
3.0,0.0,3.0,48.99,6.0,18.0,0.0,0.0,0.0,0.13292436301708221
1.0,0.0,1.0,115.98,4.0,12.0,0.0,0.0,0.0,0.008920148015022278
1.0,0.0,2.0,50.99,0.0,3.0,0.0,0.0,0.0,0.04819957911968231
3.0,1.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.24649959802627563
3.0,1.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0323348343372345
2.0,1.0,6.0,47.99,1.0,7.0,0.0,0.0,0.0,0.2973507344722748
3.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.22712478041648865
1.0,0.0,4.0,59.99,2.0,22.0,0.0,0.0,0.0,0.07686363905668259
3.0,0.0,3.0,64.99,5.0,20.0,1.0,0.0,0.0,0.25919637084007263
4.0,1.0,4.0,52.49,4.0,10.0,1.0,0.0,0.0,0.5281316637992859
1.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.08780656009912491
3.0,0.0,3.0,66.49,2.0,3.0,1.0,0.0,0.0,0.3243013024330139
3.0,1.0,3.0,65.49,5.0,8.0,1.0,0.0,0.0,0.22069939970970154
1.0,0.0,3.0,54.99,5.0,19.0,0.0,0.0,0.0,0.021884094923734665
3.0,1.0,3.0,113.98,4.0,11.0,1.0,0.0,0.0,0.24803407490253448
2.0,0.0,1.0,82.49,5.0,18.0,0.0,0.0,0.0,0.01342413667589426
1.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.05073431506752968
3.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.03719285875558853
3.0,0.0,2.0,58.99,0.0,17.0,1.0,0.0,0.0,0.45925480127334595
1.0,1.0,1.0,100.98,5.0,12.0,0.0,0.0,0.0,0.006098937708884478
1.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.052410323172807693
1.0,1.0,2.0,59.99,2.0,3.0,0.0,0.0,0.0,0.02392357960343361
2.0,1.0,3.0,68.99,3.0,3.0,0.0,0.0,0.0,0.049450647085905075
2.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.202123761177063
2.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,0.027585916221141815
1.0,1.0,1.0,53.99,5.0,4.0,0.0,0.0,0.0,0.006691557355225086
2.0,0.0,3.0,54.99,0.0,19.0,0.0,0.0,0.0,0.13442669808864594
2.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.04497898742556572
1.0,1.0,4.0,63.99,4.0,16.0,1.0,1.0,51.192,0.17061814665794373
2.0,1.0,3.0,61.99,6.0,9.0,0.0,0.0,0.0,0.023410359397530556
3.0,1.0,0.0,0.0,7.0,21.0,1.0,0.0,0.0,0.09429126977920532
3.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.1975255161523819
1.0,0.0,1.0,63.99,2.0,13.0,0.0,0.0,0.0,0.01782815344631672
3.0,1.0,1.0,77.49,4.0,6.0,1.0,0.0,0.0,0.11826702207326889
1.0,1.0,1.0,66.49,5.0,5.0,1.0,0.0,0.0,0.03277048468589783
2.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.01563211716711521
1.0,0.0,1.0,173.97,0.0,14.0,0.0,0.0,0.0,0.022631166502833366
1.0,0.0,3.0,124.98,7.0,5.0,1.0,0.0,0.0,0.04875962808728218
2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.015345312654972076
1.0,0.0,1.0,73.99,0.0,6.0,0.0,0.0,0.0,0.02868279628455639
3.0,1.0,2.0,50.99,1.0,23.0,0.0,0.0,0.0,0.17192912101745605
2.0,0.0,0.0,0.0,4.0,21.0,1.0,1.0,42.99,0.09772016853094101
1.0,1.0,1.0,49.99,4.0,6.0,0.0,0.0,0.0,0.008975591510534286
1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.12654675543308258
2.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.018456822261214256
3.0,1.0,1.0,70.49,0.0,16.0,0.0,0.0,0.0,0.07682151347398758
2.0,1.0,1.0,63.99,2.0,2.0,0.0,0.0,0.0,0.025323037058115005
3.0,0.0,0.0,0.0,7.0,11.0,1.0,0.0,0.0,0.057306721806526184
1.0,0.0,1.0,133.98,3.0,7.0,0.0,0.0,0.0,0.010864348150789738
2.0,1.0,1.0,54.99,1.0,9.0,1.0,1.0,43.992,0.15844087302684784
1.0,0.0,1.0,74.49,1.0,12.0,0.0,0.0,0.0,0.022557761520147324
3.0,1.0,2.0,339.96,6.0,18.0,0.0,0.0,0.0,0.012153098359704018
4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,40.792,0.07700254023075104
3.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.20211948454380035
1.0,0.0,2.0,52.49,0.0,2.0,0.0,0.0,0.0,0.04777989536523819
2.0,1.0,1.0,132.98,5.0,15.0,0.0,0.0,0.0,0.009897736832499504
3.0,0.0,1.0,51.49,5.0,13.0,0.0,0.0,0.0,0.02482997253537178
3.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.20498104393482208
1.0,0.0,0.0,0.0,6.0,24.0,0.0,0.0,0.0,0.010437533259391785
3.0,0.0,0.0,0.0,6.0,24.0,0.0,0.0,0.0,0.03972643241286278
3.0,0.0,5.0,61.49,5.0,16.0,0.0,0.0,0.0,0.1509159505367279
3.0,0.0,3.0,53.99,6.0,25.0,0.0,0.0,0.0,0.23010720312595367
4.0,1.0,3.0,131.97,4.0,1.0,0.0,0.0,0.0,0.0918327271938324
5.0,0.0,5.0,60.99,0.0,10.0,0.0,0.0,0.0,0.6781944632530212
3.0,0.0,2.0,63.49,6.0,24.0,0.0,0.0,0.0,0.08148229122161865
1.0,1.0,1.0,64.49,0.0,5.0,1.0,0.0,0.0,0.11863323301076889
1.0,1.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.009987185709178448
1.0,1.0,5.0,66.99,0.0,16.0,0.0,0.0,0.0,0.16148322820663452
2.0,1.0,6.0,59.99,4.0,1.0,1.0,0.0,0.0,0.4414091110229492
2.0,1.0,9.0,61.49,2.0,20.0,0.0,0.0,0.0,0.5887560248374939
2.0,0.0,1.0,67.99,5.0,1.0,1.0,0.0,0.0,0.0632956400513649
2.0,1.0,2.0,54.49,4.0,1.0,0.0,0.0,0.0,0.024390816688537598
1.0,0.0,2.0,125.98,5.0,10.0,0.0,0.0,0.0,0.010620697401463985
4.0,0.0,4.0,86.98,5.0,6.0,0.0,0.0,0.0,0.14499254524707794
1.0,0.0,2.0,265.96,5.0,7.0,0.0,0.0,0.0,0.007068756502121687
3.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.010026276111602783
4.0,1.0,2.0,161.97,5.0,5.0,0.0,0.0,0.0,0.0422726571559906
1.0,1.0,1.0,179.97,3.0,9.0,0.0,0.0,0.0,0.008307830430567265
1.0,1.0,6.0,77.99,6.0,5.0,1.0,0.0,0.0,0.22331002354621887
2.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.06011567637324333
2.0,1.0,5.0,60.99,3.0,9.0,0.0,0.0,0.0,0.12725110352039337
3.0,0.0,4.0,78.99,4.0,14.0,0.0,0.0,0.0,0.11907730251550674
5.0,0.0,5.0,63.99,0.0,23.0,1.0,1.0,63.99,0.8954436779022217
2.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.032824449241161346
1.0,0.0,9.0,54.99,5.0,13.0,0.0,0.0,0.0,0.2901447117328644
1.0,0.0,2.0,118.98,0.0,22.0,1.0,0.0,0.0,0.19222226738929749
3.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.14282570779323578
3.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.3179318904876709
1.0,0.0,2.0,67.49,1.0,20.0,0.0,0.0,0.0,0.038406528532505035
1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.013137508183717728
3.0,1.0,2.0,197.97,1.0,19.0,1.0,0.0,0.0,0.2744913101196289
3.0,1.0,1.0,68.49,5.0,22.0,0.0,0.0,0.0,0.02135614864528179
1.0,1.0,4.0,75.99,4.0,25.0,0.0,0.0,0.0,0.03855401650071144
2.0,0.0,3.0,89.98,7.0,17.0,0.0,0.0,0.0,0.019946537911891937
2.0,1.0,1.0,54.49,4.0,17.0,0.0,1.0,43.592,0.01632046513259411
1.0,0.0,1.0,64.49,1.0,16.0,0.0,0.0,0.0,0.02364201843738556
2.0,1.0,2.0,58.99,0.0,15.0,1.0,2.0,94.384,0.2916029095649719
2.0,0.0,2.0,103.98,4.0,8.0,0.0,0.0,0.0,0.02549360692501068
2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.007691347971558571
4.0,1.0,12.0,50.49,5.0,10.0,0.0,1.0,40.391999999999996,0.8335679769515991
1.0,0.0,1.0,125.98,5.0,15.0,0.0,0.0,0.0,0.006701555103063583
1.0,1.0,4.0,45.99,1.0,17.0,1.0,1.0,36.792,0.33156442642211914
3.0,1.0,1.0,55.99,3.0,17.0,0.0,0.0,0.0,0.036803070455789566
1.0,1.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0343705415725708
1.0,1.0,4.0,99.98,4.0,16.0,0.0,0.0,0.0,0.03459881246089935
2.0,1.0,8.0,61.99,0.0,3.0,0.0,1.0,49.592,0.5039122700691223
3.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.08531645685434341
3.0,0.0,2.0,49.49,2.0,30.0,0.0,0.0,0.0,0.17115755379199982
1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.023027515038847923
3.0,1.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.15483859181404114
1.0,0.0,1.0,51.99,7.0,12.0,0.0,0.0,0.0,0.004707824904471636
3.0,1.0,4.0,48.99,6.0,23.0,0.0,0.0,0.0,0.2836635410785675
1.0,1.0,2.0,113.98,1.0,18.0,0.0,0.0,0.0,0.0289608221501112
3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.043214209377765656
3.0,1.0,12.0,173.98,3.0,16.0,0.0,2.0,139.184,0.8553595542907715
3.0,0.0,3.0,125.98,5.0,12.0,0.0,0.0,0.0,0.05176557973027229
1.0,0.0,1.0,65.99,0.0,19.0,1.0,0.0,0.0,0.1431022435426712
3.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.19077426195144653
2.0,1.0,4.0,115.98,0.0,14.0,1.0,1.0,46.391999999999996,0.4811496436595917
3.0,1.0,17.0,164.97,5.0,16.0,0.0,1.0,43.992,0.9758480191230774
2.0,0.0,1.0,62.49,1.0,2.0,0.0,0.0,0.0,0.038394417613744736
3.0,0.0,3.0,56.99,3.0,16.0,0.0,1.0,56.99,0.1049431562423706
3.0,0.0,1.0,61.49,3.0,4.0,0.0,0.0,0.0,0.039399031549692154
1.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.012601479887962341
2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.030516313388943672
1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.03616561368107796
1.0,0.0,12.0,61.49,3.0,14.0,0.0,1.0,61.49,0.7519116997718811
3.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.12323130667209625
3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.06916749477386475
3.0,0.0,4.0,180.98,1.0,16.0,0.0,0.0,0.0,0.1891656219959259
1.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.036916788667440414
1.0,0.0,7.0,68.99,2.0,9.0,1.0,2.0,137.98,0.631263256072998
2.0,1.0,4.0,45.49,0.0,15.0,0.0,0.0,0.0,0.17992731928825378
2.0,0.0,2.0,182.97,6.0,10.0,1.0,0.0,0.0,0.05947781726717949
4.0,0.0,7.0,57.49,4.0,15.0,0.0,0.0,0.0,0.5195153951644897
1.0,0.0,2.0,117.98,5.0,25.0,1.0,0.0,0.0,0.05776963755488396
3.0,1.0,3.0,178.47,0.0,13.0,1.0,0.0,0.0,0.45448389649391174
4.0,1.0,3.0,59.99,2.0,9.0,1.0,0.0,0.0,0.5366527438163757
1.0,1.0,2.0,247.96,6.0,1.0,0.0,0.0,0.0,0.025567885488271713
2.0,0.0,3.0,65.99,1.0,14.0,0.0,0.0,0.0,0.10038380324840546
5.0,0.0,7.0,66.99,3.0,37.0,0.0,0.0,0.0,0.92303466796875
1.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.006726320367306471
1.0,1.0,3.0,115.98,7.0,13.0,1.0,0.0,0.0,0.0449356846511364
2.0,0.0,9.0,63.49,4.0,21.0,0.0,0.0,0.0,0.45249441266059875
1.0,0.0,1.0,203.97,0.0,11.0,0.0,0.0,0.0,0.0205282811075449
1.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.015554642304778099
1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.03395327925682068
2.0,0.0,3.0,110.98,5.0,19.0,0.0,0.0,0.0,0.03246705234050751
1.0,0.0,0.0,0.0,5.0,13.0,1.0,0.0,0.0,0.029703473672270775
2.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,55.592,0.12196244299411774
1.0,1.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.1513388752937317
1.0,1.0,2.0,47.49,7.0,23.0,0.0,0.0,0.0,0.029790963977575302
4.0,0.0,2.0,135.98,4.0,10.0,0.0,0.0,0.0,0.0693482905626297
2.0,1.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.011060157790780067
1.0,0.0,3.0,64.99,6.0,15.0,1.0,0.0,0.0,0.07748622447252274
3.0,0.0,1.0,65.99,6.0,18.0,0.0,0.0,0.0,0.01867702417075634
1.0,1.0,3.0,51.99,1.0,7.0,1.0,0.0,0.0,0.22154651582241058
3.0,0.0,1.0,124.98,0.0,1.0,1.0,0.0,0.0,0.13760608434677124
3.0,1.0,1.0,82.98,1.0,16.0,0.0,0.0,0.0,0.057517778128385544
1.0,0.0,1.0,62.99,4.0,15.0,0.0,0.0,0.0,0.010500291362404823
3.0,0.0,2.0,80.99,3.0,15.0,0.0,0.0,0.0,0.0626538097858429
1.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.01457312610000372
1.0,0.0,2.0,65.99,5.0,23.0,0.0,0.0,0.0,0.01338244415819645
3.0,1.0,2.0,70.99,6.0,24.0,1.0,0.0,0.0,0.11888141930103302
3.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.07466009259223938
2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0481891930103302
3.0,1.0,1.0,62.99,5.0,10.0,0.0,0.0,0.0,0.020459994673728943
3.0,0.0,1.0,39.99,7.0,21.0,1.0,0.0,0.0,0.10989075154066086
1.0,0.0,3.0,59.99,5.0,13.0,0.0,0.0,0.0,0.020965727046132088
2.0,1.0,4.0,48.99,0.0,17.0,1.0,1.0,39.192,0.5321662425994873
3.0,0.0,1.0,68.49,0.0,15.0,0.0,0.0,0.0,0.08827067166566849
1.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.027450837194919586
3.0,1.0,1.0,52.49,4.0,16.0,1.0,1.0,41.992,0.13138175010681152
3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.016154728829860687
1.0,1.0,1.0,122.98,7.0,18.0,0.0,0.0,0.0,0.0034169121645390987
3.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.12997767329216003
4.0,1.0,3.0,48.49,2.0,28.0,0.0,0.0,0.0,0.4149201214313507
1.0,1.0,1.0,131.98,2.0,19.0,0.0,0.0,0.0,0.013095731846988201
1.0,0.0,3.0,63.99,6.0,15.0,0.0,0.0,0.0,0.015986990183591843
1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,81.99,0.023198382928967476
3.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.18945500254631042
1.0,0.0,2.0,81.98,4.0,23.0,1.0,0.0,0.0,0.0812782347202301
2.0,1.0,0.0,0.0,5.0,10.0,1.0,1.0,67.592,0.0623566135764122
1.0,0.0,2.0,105.98,2.0,2.0,1.0,0.0,0.0,0.11432626843452454
1.0,1.0,2.0,69.49,4.0,10.0,1.0,0.0,0.0,0.06883256882429123
1.0,1.0,1.0,55.99,5.0,1.0,1.0,0.0,0.0,0.0330861359834671
1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.05356494337320328
3.0,0.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,0.04105454683303833
3.0,1.0,0.0,0.0,3.0,11.0,1.0,0.0,0.0,0.20088012516498566
3.0,0.0,1.0,65.99,0.0,17.0,1.0,0.0,0.0,0.33798566460609436
1.0,1.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.018890129402279854
5.0,1.0,2.0,61.99,1.0,8.0,0.0,0.0,0.0,0.23864658176898956
1.0,1.0,1.0,43.99,1.0,8.0,1.0,1.0,35.192,0.09908853471279144
1.0,1.0,1.0,111.98,4.0,6.0,0.0,0.0,0.0,0.007543202489614487
2.0,1.0,4.0,86.99,1.0,17.0,0.0,0.0,0.0,0.13021361827850342
4.0,1.0,2.0,70.49,0.0,13.0,0.0,0.0,0.0,0.19025592505931854
2.0,1.0,4.0,37.49,6.0,10.0,0.0,0.0,0.0,0.05877486616373062
3.0,1.0,5.0,66.99,3.0,18.0,0.0,0.0,0.0,0.20845448970794678
1.0,1.0,1.0,47.99,2.0,3.0,0.0,0.0,0.0,0.01530905719846487
1.0,1.0,1.0,127.98,7.0,16.0,0.0,0.0,0.0,0.0033360568340867758
3.0,0.0,1.0,101.98,2.0,23.0,0.0,0.0,0.0,0.05023002624511719
2.0,0.0,3.0,83.99,1.0,21.0,0.0,0.0,0.0,0.09892226755619049
1.0,1.0,1.0,61.49,7.0,17.0,0.0,0.0,0.0,0.004043285734951496
3.0,0.0,1.0,123.98,2.0,8.0,0.0,1.0,61.99,0.04410838708281517
1.0,1.0,0.0,0.0,7.0,22.0,1.0,0.0,0.0,0.026734190061688423
2.0,1.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.02089942805469036
3.0,1.0,1.0,82.99,4.0,22.0,1.0,1.0,66.392,0.12505801022052765
3.0,1.0,3.0,48.99,0.0,19.0,0.0,0.0,0.0,0.19272221624851227
3.0,1.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.041913971304893494
1.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.018408184871077538
1.0,0.0,3.0,105.98,3.0,17.0,0.0,0.0,0.0,0.03215723857283592
2.0,0.0,1.0,43.99,2.0,21.0,0.0,0.0,0.0,0.09519661217927933
2.0,1.0,6.0,56.49,3.0,1.0,1.0,1.0,45.192,0.4319828748703003
1.0,0.0,2.0,67.49,4.0,13.0,1.0,0.0,0.0,0.08064781874418259
1.0,0.0,1.0,62.99,5.0,14.0,0.0,0.0,0.0,0.007958666421473026
2.0,1.0,2.0,61.99,3.0,17.0,0.0,0.0,0.0,0.03369325026869774
4.0,1.0,1.0,65.99,5.0,10.0,0.0,0.0,0.0,0.0351138636469841
1.0,1.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.028162702918052673
3.0,1.0,1.0,69.99,4.0,13.0,1.0,0.0,0.0,0.12421344965696335
3.0,0.0,5.0,112.98,6.0,4.0,0.0,0.0,0.0,0.09911058843135834
1.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.006283568684011698
2.0,0.0,8.0,51.99,0.0,14.0,0.0,0.0,0.0,0.6380934715270996
1.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.02155550941824913
3.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.42806631326675415
1.0,1.0,5.0,128.98,4.0,18.0,0.0,0.0,0.0,0.05157812684774399
1.0,0.0,1.0,169.47,0.0,16.0,0.0,0.0,0.0,0.023136794567108154
1.0,1.0,3.0,80.49,1.0,12.0,1.0,0.0,0.0,0.21206040680408478
1.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,0.0,0.05036866292357445
2.0,0.0,1.0,75.99,6.0,3.0,0.0,0.0,0.0,0.009682165458798409
1.0,0.0,1.0,54.99,7.0,1.0,0.0,0.0,0.0,0.004422191064804792
1.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.036916788667440414
2.0,0.0,2.0,55.49,2.0,18.0,0.0,0.0,0.0,0.05178893357515335
2.0,0.0,1.0,66.99,1.0,12.0,0.0,0.0,0.0,0.039773475378751755
2.0,0.0,5.0,61.99,2.0,3.0,1.0,0.0,0.0,0.413940966129303
1.0,0.0,3.0,71.49,1.0,4.0,0.0,0.0,0.0,0.05616522207856178
