id,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,minority,non_male,state
Next_63,1,1,55.49,5,19,0,0,1,6
Next_64,1,1,127.98,6,11,1,1,0,3
Next_65,2,2,161.97,2,18,0,0,1,1
Next_66,1,0,0,6,15,0,0,1,2
Next_67,2,0,0,4,2,0,0,0,2
Next_68,3,0,0,5,7,1,0,0,7
Next_69,4,0,0,5,24,0,0,1,9
Next_70,1,4,173.97,6,18,1,0,1,5
Next_71,1,0,0,1,20,0,1,1,7
Next_72,4,1,141.98,6,9,1,0,0,7
Next_73,2,0,0,5,5,0,0,0,1
Next_74,1,0,0,2,6,0,0,0,7
Next_75,2,6,218.97,4,20,0,0,1,1
Next_76,2,0,0,1,13,0,0,1,8
Next_77,4,0,0,3,26,1,0,1,1
Next_78,2,4,57.99,7,8,0,0,1,1
Next_79,1,2,51.99,0,4,1,1,0,3
Next_80,1,0,0,3,1,0,1,0,7
Next_81,2,2,67.49,0,17,0,0,1,3
Next_82,1,2,59.49,0,14,1,1,1,10
Next_83,1,0,0,0,16,0,0,1,2
Next_84,1,4,62.99,0,7,0,0,1,4
Next_85,4,1,83.99,5,20,1,0,1,3
Next_86,1,0,0,6,1,0,0,0,4
Next_87,1,4,154.98,2,15,0,1,1,7
Next_88,3,1,68.99,5,10,0,0,0,4
Next_89,3,0,0,5,19,0,0,1,6
Next_90,3,2,52.99,0,14,0,0,1,3
Next_91,3,1,55.99,1,15,0,0,1,6
Next_92,3,2,139.98,3,15,0,0,1,2
Next_93,1,1,62.99,4,16,0,0,1,2
Next_94,2,2,43.99,1,22,0,0,1,5
Next_95,3,1,155.98,5,16,0,0,1,4
Next_96,3,1,56.99,1,14,0,0,1,3
Next_97,1,5,63.99,4,21,0,1,1,7
Next_98,1,0,0,0,21,1,0,1,2
Next_99,3,0,0,7,14,0,0,0,8
Next_100,1,2,55.99,0,3,1,1,0,3
Next_101,1,8,86.98,0,20,0,1,1,7
Next_102,1,0,0,0,13,0,0,1,1
Next_103,1,0,0,6,4,1,1,0,3
Next_104,4,5,172.47,1,18,1,0,1,1
Next_105,3,0,0,2,14,0,0,1,2
Next_106,2,9,46.99,0,10,0,0,1,4
Next_107,3,5,134.97,5,15,0,0,1,6
Next_108,1,2,59.99,2,8,0,0,0,3
Next_109,1,0,0,4,5,0,0,0,3
Next_110,2,0,0,1,16,0,1,1,3
Next_111,5,4,57.99,0,1,0,1,0,3
Next_112,1,1,56.49,2,18,0,0,1,2
Next_113,1,0,0,2,2,0,1,0,3
Next_114,4,2,56.99,2,15,0,0,0,5
Next_115,1,3,64.49,1,16,1,0,1,3
Next_116,4,0,0,1,1,0,0,0,1
Next_117,1,1,65.49,5,24,0,0,1,3
Next_118,2,1,61.99,5,21,0,0,1,1
Next_119,3,0,0,5,19,0,0,1,1
Next_120,2,4,61.49,5,10,0,0,0,4
Next_121,1,1,236.97,3,7,1,1,0,3
Next_122,2,0,0,5,21,0,0,1,1
Next_123,3,0,0,0,16,0,0,1,1
Next_124,2,2,51.99,0,12,0,0,0,5
Next_125,1,2,54.99,3,15,0,0,0,2
Next_126,1,4,135.98,2,16,0,0,1,3
Next_127,3,1,61.49,1,15,1,0,1,2
Next_128,1,4,55.99,0,15,0,0,1,5
Next_129,2,8,54.99,1,16,0,0,1,2
Next_130,1,0,0,1,5,0,1,0,3
Next_131,1,12,52.99,1,22,0,1,1,7
Next_132,2,2,50.99,5,18,0,0,1,4
Next_133,1,4,44.99,1,16,0,0,1,1
Next_134,3,0,0,7,11,1,0,1,1
Next_135,1,4,166.47,5,18,0,1,1,7
Next_136,3,2,63.99,4,11,0,0,0,3
Next_137,2,1,66.99,3,20,0,0,1,8
Next_138,3,1,51.49,1,11,0,0,1,1
Next_139,1,1,154.47,4,4,0,0,0,3
Next_140,2,1,230.97,5,1,0,0,0,7
Next_141,2,5,64.99,5,20,0,0,0,2
Next_142,2,3,55.99,0,9,0,0,0,1
Next_143,2,0,0,0,2,1,0,0,7
Next_144,2,2,66.99,1,19,0,0,1,4
Next_145,1,5,77.49,1,12,1,0,1,10
Next_146,3,1,46.99,6,19,1,0,1,1
Next_147,1,0,0,4,19,0,0,1,4
Next_148,3,0,0,3,12,1,0,1,4
Next_149,3,1,56.49,2,19,0,0,1,2
Next_150,3,3,75.98,2,14,1,0,1,7
Next_151,1,0,0,2,18,0,0,0,3
Next_152,1,0,0,5,5,1,1,0,3
Next_153,1,0,0,2,3,0,1,0,3
Next_154,4,0,0,2,17,1,0,1,6
Next_155,2,1,60.99,2,17,0,0,1,4
Next_156,3,1,129.98,5,25,1,0,1,7
Next_157,1,0,0,5,7,0,1,0,7
Next_158,1,2,107.98,4,9,1,0,0,2
Next_159,1,0,0,1,10,1,1,0,3
Next_160,2,7,128.98,4,7,0,0,0,8
Next_161,2,1,62.49,7,14,1,0,1,7
Next_162,2,4,46.99,5,16,0,0,1,4
Next_163,3,3,49.99,1,23,1,0,1,3
Next_164,3,0,0,6,26,0,0,1,8
Next_165,2,2,65.99,4,22,0,0,1,7
Next_166,1,0,0,1,17,0,0,1,4
Next_167,5,0,0,6,11,0,0,0,5
Next_168,1,1,72.99,3,7,0,0,0,2
Next_169,4,0,0,1,14,0,0,0,1
Next_170,1,4,97.98,1,14,0,1,1,3
Next_171,2,4,75.99,3,25,1,0,1,3
Next_172,1,1,49.99,3,10,1,1,1,10
Next_173,2,6,125.97,5,23,0,0,1,1
Next_174,1,3,80.49,0,20,0,1,1,7
Next_175,3,4,64.49,7,16,0,0,1,1
Next_176,5,4,83.49,7,11,1,0,0,4
Next_177,1,1,68.99,4,10,0,0,0,2
Next_178,1,2,62.99,5,1,0,0,0,3
Next_179,2,4,48.99,4,21,0,0,1,3
Next_180,2,0,0,1,5,0,0,0,1
Next_181,3,3,63.99,5,8,0,0,1,5
Next_182,3,0,0,7,8,1,0,0,4
Next_183,1,0,0,2,21,0,0,1,3
Next_184,3,0,0,6,19,0,0,1,1
Next_185,3,1,170.97,1,6,1,0,0,5
Next_186,3,1,70.49,6,21,0,0,1,3
Next_187,1,4,57.99,5,16,1,1,1,7
Next_188,1,1,58.49,4,19,0,0,1,6
Next_189,3,8,52.99,6,22,0,0,1,6
Next_190,1,5,203.97,4,1,1,0,0,2
Next_191,3,0,0,5,6,0,0,0,2
Next_192,1,2,42.49,5,27,0,1,1,7
Next_193,3,11,59.99,1,23,0,0,1,5
Next_194,4,2,215.97,1,22,1,0,1,1
Next_195,1,1,68.99,4,26,0,1,1,3
Next_196,2,1,56.99,5,23,0,0,1,5
Next_197,3,7,57.99,3,22,0,0,1,1
Next_198,1,0,0,0,23,0,0,1,7
Next_199,2,1,58.49,4,13,1,0,0,5
Next_200,3,1,55.99,4,9,0,0,1,8
Next_201,2,0,0,0,3,0,0,0,6
Next_202,3,0,0,0,18,0,0,0,2
Next_203,2,0,0,7,10,1,0,0,6
Next_204,1,0,0,6,2,0,0,0,2
Next_205,3,1,65.99,0,8,0,0,1,5
Next_206,2,4,49.99,2,3,0,0,0,6
Next_207,3,2,56.99,3,15,1,0,1,3
Next_208,1,1,50.49,2,1,1,0,0,4
Next_209,2,1,95.98,5,14,0,0,0,1
Next_210,2,0,0,3,13,0,0,1,1
Next_211,1,3,131.98,5,14,1,1,0,7
Next_212,1,2,55.99,0,25,1,1,1,3
Next_213,1,1,70.49,6,19,0,0,1,9
Next_214,1,4,65.99,7,16,0,1,1,3
Next_215,2,1,61.99,2,18,1,0,1,5
Next_216,4,1,106.98,2,3,0,0,0,3
Next_217,1,0,0,5,23,0,1,1,7
Next_218,1,3,53.99,5,2,1,0,0,1
Next_219,2,1,58.49,1,8,0,0,0,2
Next_220,3,0,0,7,11,1,0,1,4
Next_221,1,8,124.98,0,1,0,0,0,3
Next_222,1,4,61.99,4,13,0,1,1,7
Next_223,2,0,0,1,1,0,0,0,3
Next_224,3,1,68.49,2,20,0,0,1,2
Next_225,1,1,67.99,7,23,0,0,1,6
Next_226,2,0,0,2,2,0,0,0,3
Next_227,1,0,0,4,15,0,1,0,10
Next_228,2,0,0,3,2,0,0,0,8
Next_229,3,0,0,2,14,1,0,1,4
Next_230,3,6,68.99,2,21,0,0,1,1
Next_231,2,0,0,4,23,1,0,1,3
Next_232,1,0,0,4,15,0,0,1,6
Next_233,1,1,125.98,6,9,1,0,0,1
Next_234,4,1,71.99,2,16,0,0,1,7
Next_235,3,0,0,2,12,0,0,1,5
Next_236,1,1,49.99,1,15,0,0,0,5
Next_237,3,2,102.98,6,15,0,0,1,1
Next_238,2,1,73.99,0,13,0,0,1,4
Next_239,2,4,59.49,5,1,0,0,0,5
Next_240,2,4,44.99,6,15,0,1,1,3
Next_241,1,0,0,4,26,1,0,1,6
Next_242,3,9,70.49,1,19,1,0,1,1
Next_243,2,4,59.99,5,16,0,1,1,7
Next_244,1,1,74.99,6,9,0,0,0,7
Next_245,3,3,61.99,2,29,1,0,1,3
Next_246,3,0,0,5,23,0,0,1,3
Next_247,1,4,119.98,5,26,0,0,1,8
Next_248,1,0,0,1,4,0,0,0,1
Next_249,1,3,68.49,0,10,1,0,0,4
Next_250,5,1,59.99,6,11,0,0,1,1
Next_251,2,5,59.49,3,20,0,0,1,6
Next_252,1,0,0,7,19,0,0,1,3
Next_253,1,1,159.98,1,13,0,0,0,1
Next_254,2,1,130.98,3,12,0,0,1,5
Next_255,2,0,0,0,21,1,0,1,3
Next_256,2,4,72.99,4,17,0,0,1,4
Next_257,1,0,0,0,14,0,0,1,8
Next_258,1,0,0,4,18,1,1,1,7
Next_259,3,1,62.49,0,15,0,0,1,2
Next_260,1,3,45.49,5,18,0,0,1,9
Next_261,1,2,105.98,5,2,0,0,0,6
Next_262,1,0,0,2,16,0,0,1,8
Next_263,2,0,0,1,16,0,0,0,6
Next_264,1,3,59.49,1,16,1,1,1,3
Next_265,1,0,0,6,17,0,1,1,10
Next_266,1,0,0,0,15,0,1,1,3
Next_267,3,3,170.97,6,26,1,1,1,3
Next_268,3,7,65.99,2,13,0,0,1,4
Next_269,1,1,66.99,6,18,0,0,0,3
Next_270,2,1,78.49,5,10,0,0,0,2
Next_271,3,2,182.97,0,4,1,1,0,10
Next_272,1,0,0,7,7,0,0,0,3
Next_273,1,2,147.98,1,11,1,0,0,4
Next_274,2,1,50.99,5,23,0,0,1,5
Next_275,3,1,53.49,5,23,0,0,1,4
Next_276,2,4,58.49,7,9,1,0,0,4
Next_277,1,7,57.99,0,8,1,1,0,7
Next_278,2,4,61.99,3,19,0,0,1,5
Next_279,1,9,54.49,2,13,0,1,0,3
Next_280,2,0,0,4,8,0,0,0,7
Next_281,1,1,67.99,4,17,0,0,1,9
Next_282,3,3,60.99,3,17,1,0,1,8
Next_283,2,0,0,3,13,0,0,1,8
Next_284,1,0,0,6,22,0,1,1,7
Next_285,4,0,0,1,14,0,0,1,2
Next_286,3,0,0,3,18,0,0,1,3
Next_287,3,0,0,6,21,0,0,1,2
Next_288,2,0,0,7,16,0,0,0,2
Next_289,3,2,52.99,1,24,0,0,1,1
Next_290,1,4,73.49,6,2,0,0,0,5
Next_291,1,3,71.49,4,24,1,0,1,7
Next_292,1,1,58.49,6,15,0,1,0,3
Next_293,2,1,71.49,6,18,0,1,1,10
Next_294,3,0,0,0,24,0,0,1,5
Next_295,3,1,47.49,0,4,1,0,0,2
Next_296,3,0,0,1,15,0,0,1,4
Next_297,1,3,56.99,6,10,1,1,0,3
Next_298,1,2,50.49,2,27,0,0,1,7
Next_299,2,3,68.99,3,5,1,0,0,2
Next_300,3,3,56.99,1,13,1,0,0,3
Next_301,5,0,0,3,1,0,0,0,4
Next_302,1,0,0,0,12,0,1,1,3
Next_303,1,2,49.99,2,9,1,0,0,7
Next_304,1,0,0,7,23,0,1,1,3
Next_305,3,0,0,6,9,0,0,0,4
Next_306,3,0,0,1,21,0,0,1,5
Next_307,3,1,63.99,1,5,0,0,0,6
Next_308,3,1,64.49,2,16,1,0,1,6
Next_309,3,3,56.99,4,7,0,0,0,2
Next_310,3,0,0,0,11,1,0,1,6
Next_311,3,0,0,4,17,0,0,1,3
Next_312,3,0,0,1,15,0,0,1,2
Next_313,2,5,69.49,6,18,0,0,1,5
Next_314,3,1,64.49,5,24,0,0,1,2
Next_315,5,1,58.99,2,22,0,1,1,10
Next_316,1,0,0,6,18,1,0,1,7
Next_317,1,0,0,4,17,0,1,1,7
Next_318,3,3,107.98,5,19,0,0,1,2
Next_319,3,0,0,4,12,0,0,1,1
Next_320,1,0,0,4,17,0,0,1,2
Next_321,2,6,225.96,5,1,0,0,0,5
Next_322,1,0,0,4,12,1,0,0,2
Next_323,1,0,0,5,7,0,0,0,4
Next_324,1,2,43.99,0,20,0,0,1,3
Next_325,1,0,0,1,11,0,1,1,10
Next_326,3,0,0,2,13,1,0,1,2
Next_327,1,6,54.99,0,22,0,1,1,7
Next_328,2,1,67.99,4,12,1,1,1,7
Next_329,1,0,0,0,18,0,1,0,3
Next_330,2,0,0,6,15,0,0,0,3
Next_331,1,5,66.49,1,7,1,0,0,4
Next_332,1,1,199.47,5,13,1,0,0,5
Next_333,1,2,57.49,1,9,0,1,1,3
Next_334,3,0,0,0,19,1,0,1,7
Next_335,1,2,45.99,2,19,0,0,1,1
Next_336,1,10,52.99,7,19,1,0,0,3
Next_337,2,8,172.47,1,21,0,0,1,3
Next_338,1,3,229.47,0,10,0,1,1,3
Next_339,3,0,0,1,12,1,0,0,1
Next_340,4,5,106.98,2,16,1,0,0,2
Next_341,3,3,56.49,6,20,0,0,1,3
Next_342,2,0,0,0,6,0,0,0,3
Next_343,2,11,46.99,4,24,0,0,1,3
Next_344,3,0,0,5,17,0,0,1,6
Next_345,1,4,60.99,1,20,0,0,1,3
Next_346,3,1,125.97,7,13,0,0,1,3
Next_347,1,1,73.49,1,5,0,0,1,1
Next_348,4,3,48.49,1,20,1,0,0,3
Next_349,4,2,173.97,4,13,0,0,0,4
Next_350,1,0,0,0,1,1,1,0,3
Next_351,2,2,133.98,1,19,1,0,1,1
Next_352,1,9,63.99,4,18,0,0,1,6
Next_353,1,2,53.49,3,12,0,1,1,10
Next_354,2,1,129.98,2,8,0,0,0,3
Next_355,3,3,141.98,3,18,0,0,1,1
Next_356,1,1,67.49,5,9,1,0,0,1
Next_357,2,2,49.49,2,18,0,1,1,7
Next_358,3,0,0,4,6,1,1,0,7
Next_359,2,1,71.98,0,13,1,0,0,8
Next_360,1,1,200.97,2,13,0,0,1,9
Next_361,2,4,74.99,2,23,0,0,1,3
Next_362,3,1,51.99,4,21,0,0,1,9
Next_363,3,1,147.98,1,19,0,0,1,2
Next_364,3,0,0,6,17,0,0,0,8
Next_365,2,1,62.99,6,2,0,0,0,1
Next_366,3,1,87.99,0,16,1,0,1,4
Next_367,1,1,153.98,3,10,1,1,1,7
Next_368,1,1,71.49,6,16,0,1,1,7
Next_369,3,1,68.99,3,11,0,0,1,4
Next_370,1,3,227.97,7,20,0,0,1,7
Next_371,2,1,78.99,3,5,1,0,0,3
Next_372,5,2,65.99,2,20,0,0,1,3
Next_373,1,1,148.47,4,11,0,1,1,3
Next_374,1,1,72.99,6,11,1,1,0,7
Next_375,3,1,60.49,3,3,0,0,0,1
Next_376,3,5,66.49,2,24,0,0,1,3
Next_377,1,5,188.97,6,5,0,1,0,3
Next_378,3,0,0,6,20,0,0,1,3
Next_379,3,0,0,1,25,0,0,1,4
Next_380,2,2,61.99,3,15,0,0,1,3
Next_381,1,1,48.49,1,2,0,1,0,10
Next_382,3,6,80.99,0,17,0,1,1,7
Next_383,2,1,156.98,4,3,1,0,0,2
Next_384,1,0,0,4,20,0,0,1,3
Next_385,1,5,60.49,6,15,0,0,1,2
Next_386,3,1,78.99,1,28,1,0,1,9
Next_387,1,0,0,3,27,0,1,1,3
Next_388,3,2,46.99,6,19,0,0,1,4
Next_389,1,1,83.49,4,16,0,0,1,3
Next_390,3,2,89.98,1,22,0,0,1,1
Next_391,2,0,0,5,12,0,0,1,1
Next_392,5,2,167.97,4,4,1,0,0,2
Next_393,1,0,0,5,21,0,0,1,5
Next_394,3,6,55.99,0,19,0,0,1,5
Next_395,3,2,117.98,5,21,1,0,1,3
Next_396,4,4,101.98,5,6,0,0,0,1
Next_397,1,7,77.49,6,18,0,0,1,4
Next_398,3,2,73.99,2,5,0,0,0,5
Next_399,5,0,0,3,25,0,1,1,3
Next_400,2,0,0,5,7,0,0,0,2
Next_401,1,2,68.49,0,23,0,0,1,1
Next_402,2,0,0,7,10,0,0,0,1
Next_403,1,1,41.49,2,16,0,0,0,2
Next_404,3,2,64.99,1,11,0,0,1,3
Next_405,1,0,0,2,12,0,0,0,5
Next_406,1,5,46.99,1,1,1,1,0,3
Next_407,3,2,72.99,5,30,0,1,1,7
Next_408,1,5,71.99,7,21,0,0,1,6
Next_409,3,1,190.47,2,25,0,0,1,2
Next_410,3,0,0,7,13,0,0,1,5
Next_411,2,0,0,5,22,0,0,1,6
Next_412,1,8,146.97,3,10,0,0,0,3
Next_413,1,0,0,5,11,0,1,1,10
Next_414,1,0,0,0,8,1,1,0,7
Next_415,1,0,0,7,14,0,0,0,5
Next_416,2,1,48.49,3,27,0,0,1,4
Next_417,5,9,66.49,3,25,1,0,1,1
Next_418,4,0,0,2,11,0,0,1,3
Next_419,3,5,60.99,4,19,0,0,1,1
Next_420,3,1,68.99,4,18,0,0,1,1
Next_421,3,0,0,0,4,1,0,0,3
Next_422,2,1,61.99,4,25,0,0,1,5
Next_423,3,1,67.99,4,13,0,0,1,4
Next_424,2,5,57.49,3,21,1,0,1,2
Next_425,4,2,191.97,2,9,0,0,1,3
Next_426,3,3,233.97,0,17,1,0,1,5
Next_427,1,1,43.99,2,9,0,1,1,10
Next_428,5,0,0,4,11,1,0,1,5
Next_429,3,0,0,2,16,1,0,0,6
Next_430,3,0,0,0,9,0,0,0,5
Next_431,1,1,59.49,4,10,0,0,1,2
Next_432,1,1,58.99,0,11,0,0,0,4
Next_433,4,0,0,2,24,0,0,1,5
Next_434,1,0,0,4,1,0,0,0,5
Next_435,1,1,70.99,3,25,0,0,1,1
Next_436,2,3,155.98,6,24,1,0,1,2
Next_437,2,5,148.98,2,10,1,0,1,9
Next_438,1,1,52.99,2,21,0,1,1,7
Next_439,1,0,0,7,9,1,0,0,1
Next_440,3,0,0,4,20,0,1,1,3
Next_441,1,1,74.99,2,15,1,0,1,3
Next_442,1,0,0,5,12,0,1,0,7
Next_443,2,1,111.98,1,8,0,0,0,1
Next_444,1,1,69.49,4,2,1,0,0,4
Next_445,3,0,0,2,1,0,0,0,5
Next_446,1,0,0,3,5,1,1,0,7
Next_447,2,0,0,4,20,0,0,1,6
Next_448,2,0,0,0,16,0,0,0,3
Next_449,3,0,0,4,13,0,0,1,5
Next_450,2,8,65.99,2,17,1,0,1,1
Next_451,2,1,55.99,3,13,1,0,1,1
Next_452,1,0,0,0,2,1,0,0,8
Next_453,3,2,34.49,3,9,0,0,0,7
Next_454,2,0,0,5,13,0,0,1,5
Next_455,4,4,69.49,5,16,1,0,1,5
Next_456,1,4,140.98,4,5,1,1,0,10
Next_457,2,2,72.49,4,4,0,0,0,2
Next_458,1,0,0,7,16,0,0,1,1
Next_459,5,0,0,4,15,1,0,0,7
Next_460,1,0,0,2,23,0,0,1,4
Next_461,1,2,141.98,0,22,0,1,1,7
Next_462,2,1,65.99,5,2,0,0,0,1
Next_463,3,2,60.99,6,16,1,0,1,1
Next_464,1,4,55.99,1,7,0,1,1,10
Next_465,1,0,0,0,19,1,1,1,7
Next_466,1,10,46.49,4,15,0,0,0,2
Next_467,3,1,47.99,7,18,1,1,1,3
Next_468,3,0,0,1,29,1,0,1,6
Next_469,1,2,110.98,1,4,1,1,0,3
Next_470,4,4,64.99,5,22,0,0,1,7
Next_471,3,0,0,0,23,0,0,1,10
Next_472,1,4,72.99,7,19,0,0,1,5
Next_473,3,6,61.99,5,11,1,0,0,10
Next_474,1,1,52.49,0,17,0,1,1,3
Next_475,3,1,55.99,1,24,0,0,1,4
Next_476,3,0,0,3,16,0,0,1,9
Next_477,1,0,0,4,6,1,0,0,6
Next_478,2,0,0,6,18,0,0,1,8
Next_479,3,13,50.49,0,8,0,0,0,4
Next_480,1,2,68.99,5,14,0,0,1,1
Next_481,3,13,93.98,1,19,0,0,1,3
Next_482,3,4,62.99,6,13,1,0,1,1
Next_483,3,7,121.47,0,17,0,0,1,8
Next_484,1,2,125.98,6,13,0,0,0,3
Next_485,1,0,0,1,18,0,0,1,4
Next_486,1,3,73.99,4,25,0,0,1,6
Next_487,3,3,64.99,5,2,1,1,0,3
Next_488,2,2,77.99,0,16,1,0,0,5
Next_489,1,0,0,4,1,1,0,0,2
Next_490,1,0,0,2,23,1,1,1,10
Next_491,2,5,79.99,0,22,0,0,1,1
Next_492,1,8,191.97,2,21,0,1,1,3
Next_493,1,12,62.99,7,14,0,0,1,4
Next_494,3,5,49.99,5,13,0,0,0,3
Next_495,1,2,99.98,7,20,0,1,1,7
Next_496,1,3,176.97,0,9,1,0,0,8
Next_497,1,0,0,0,16,0,1,1,7
Next_498,3,0,0,5,26,0,1,1,7
Next_499,3,0,0,0,2,0,0,0,1
Next_500,2,3,42.49,2,16,1,0,1,3
Next_501,1,9,72.99,5,8,1,1,0,7
Next_502,3,2,61.49,4,20,1,0,1,4
Next_503,3,3,57.99,3,21,1,0,0,5
Next_504,2,0,0,4,24,0,0,1,1
Next_505,1,1,70.49,3,16,1,1,1,7
Next_506,3,3,65.99,1,25,0,0,1,6
Next_507,3,3,116.97,2,14,0,0,0,6
Next_508,1,5,111.98,1,10,0,0,0,3
Next_509,2,2,87.98,1,6,0,0,0,5
Next_510,4,0,0,6,1,1,0,0,10
Next_511,1,0,0,3,17,0,1,1,3
Next_512,1,0,0,2,6,1,0,0,1
Next_513,2,4,59.99,2,21,0,0,1,2
Next_514,5,5,72.99,4,14,0,0,1,4
Next_515,5,3,63.99,4,4,1,0,0,3
Next_516,3,2,66.99,5,22,0,0,1,5
Next_517,2,0,0,0,18,1,0,1,2
Next_518,3,8,67.99,6,27,1,0,1,2
Next_519,1,0,0,7,6,0,1,0,10
Next_520,3,2,159.98,5,3,1,0,0,3
Next_521,3,0,0,0,16,1,0,1,5
Next_522,1,1,79.98,0,22,0,0,1,3
Next_523,2,1,99.98,6,15,1,0,1,1
Next_524,3,0,0,0,9,0,0,0,1
Next_525,1,0,0,4,23,1,0,1,7
Next_526,1,0,0,0,12,0,0,1,2
Next_527,3,2,67.99,4,18,0,0,1,4
Next_528,1,6,131.98,4,3,0,0,0,8
Next_529,2,1,59.49,6,12,1,0,1,7
Next_530,3,3,54.99,4,24,0,0,1,3
Next_531,1,6,130.47,6,12,0,0,0,3
Next_532,2,1,121.98,2,15,0,0,1,2
Next_533,2,0,0,7,21,0,0,0,5
Next_534,2,6,61.99,0,12,1,1,0,3
Next_535,2,3,56.99,1,22,0,0,1,3
Next_536,3,0,0,2,24,1,0,1,2
Next_537,1,2,59.99,7,4,1,1,0,10
Next_538,3,1,60.49,0,16,0,0,1,5
Next_539,3,0,0,0,13,0,0,1,3
Next_540,3,1,149.98,6,21,0,0,1,7
Next_541,3,3,67.99,5,12,1,1,0,7
Next_542,3,4,59.99,4,18,0,0,1,4
Next_543,2,1,58.99,1,25,0,0,1,3
Next_544,3,4,38.99,0,14,0,0,1,2
Next_545,3,1,60.99,5,30,0,0,1,9
Next_546,2,3,54.99,1,6,1,0,0,1
Next_547,1,0,0,5,11,0,1,1,10
Next_548,3,1,72.49,0,16,0,0,1,2
Next_549,2,1,59.49,5,17,0,0,1,4
Next_550,1,1,68.49,4,2,0,0,0,4
Next_551,4,0,0,1,15,0,1,0,7
Next_552,4,0,0,1,12,0,0,0,3
Next_553,3,0,0,6,17,0,0,1,1
Next_554,1,5,64.49,6,19,0,1,1,10
Next_555,1,1,71.99,0,11,0,0,1,3
Next_556,1,3,146.97,4,21,1,0,1,2
Next_557,3,1,64.99,5,19,0,0,1,1
Next_558,1,1,72.99,7,16,0,0,1,2
Next_559,2,1,65.49,7,22,1,1,1,3
Next_560,3,0,0,6,16,0,0,1,1
Next_561,1,1,73.99,3,22,0,1,1,3
Next_562,2,1,221.97,2,15,0,0,0,7
Next_563,2,1,37.99,6,12,1,0,0,1
Next_564,1,2,50.49,0,5,0,1,0,10
Next_565,3,0,0,4,19,0,0,1,4
Next_566,3,0,0,4,24,0,0,1,3
Next_567,2,2,185.97,2,21,1,0,1,5
Next_568,3,0,0,0,1,1,0,0,4
Next_569,1,0,0,0,15,0,0,0,1
Next_570,1,3,229.96,2,16,0,0,1,6
Next_571,1,1,50.49,0,10,0,1,0,3
