id,trans_after,revenue_after,channel_acq,test_coupon,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
AB_160,0,0,3,1,2,138.98,0,11,0
AB_161,0,0,2,0,0,0,5,16,0
AB_162,0,0,3,1,0,0,2,11,0
AB_163,1,69.192,3,1,0,0,1,11,0
AB_164,0,0,3,1,0,0,6,9,1
AB_165,0,0,3,0,3,145.98,5,20,0
AB_166,0,0,3,0,0,0,0,22,0
AB_167,0,0,3,1,1,285.96,5,6,1
AB_168,0,0,3,0,0,0,3,17,0
AB_169,0,0,1,0,2,224.97,1,11,0
AB_170,0,0,1,0,2,137.98,4,13,0
AB_171,0,0,3,1,0,0,4,14,0
AB_172,0,0,1,1,1,137.98,1,18,0
AB_173,0,0,1,0,3,135.98,1,1,1
AB_174,0,0,3,1,0,0,0,11,0
AB_175,0,0,1,0,4,119.98,4,12,1
AB_176,0,0,2,0,3,64.49,5,15,0
AB_177,0,0,2,1,6,74.49,1,20,0
AB_178,0,0,1,0,1,73.99,3,21,0
AB_179,0,0,3,1,2,48.99,1,11,0
AB_180,0,0,1,1,1,72.99,1,20,0
AB_181,0,0,2,0,2,63.99,0,1,0
AB_182,0,0,1,0,7,57.99,7,2,0
AB_183,0,0,3,0,2,71.99,1,23,0
AB_184,0,0,3,0,0,0,0,12,0
AB_185,0,0,1,0,4,66.99,2,22,0
AB_186,0,0,5,1,2,77.99,3,15,0
AB_187,0,0,1,0,0,0,5,1,1
AB_188,0,0,3,0,0,0,6,23,0
AB_189,0,0,1,1,0,0,2,18,0
AB_190,0,0,3,1,2,125.98,5,17,0
AB_191,0,0,1,1,0,0,0,15,0
AB_192,0,0,1,0,1,51.99,2,12,0
AB_193,0,0,2,0,0,0,0,1,1
AB_194,1,53.99,3,0,10,53.99,1,16,1
AB_195,0,0,3,0,0,0,1,20,0
AB_196,0,0,1,0,2,58.99,4,17,0
AB_197,0,0,3,1,0,0,5,18,1
AB_198,2,182.98,1,0,18,91.49,0,20,0
AB_199,0,0,4,0,2,58.99,0,2,0
AB_200,0,0,2,1,1,99.98,0,8,1
AB_201,0,0,2,1,0,0,3,16,0
AB_202,1,53.49,3,0,4,53.49,2,6,1
AB_203,0,0,2,0,0,0,4,8,0
AB_204,0,0,1,0,0,0,1,11,0
AB_205,0,0,3,1,0,0,2,16,0
AB_206,1,82.49,2,0,1,82.49,0,13,1
AB_207,0,0,1,0,3,175.47,7,22,0
AB_208,0,0,1,1,0,0,2,15,0
AB_209,0,0,1,0,0,0,5,22,0
AB_210,0,0,3,1,1,52.99,6,18,1
AB_211,1,65.49,1,0,2,65.49,1,4,0
AB_212,0,0,1,1,0,0,4,9,0
AB_213,0,0,1,1,10,53.99,2,8,0
AB_214,0,0,1,0,2,187.47,1,28,0
AB_215,1,71.49,2,0,2,71.49,0,19,0
AB_216,0,0,2,1,0,0,0,4,0
AB_217,0,0,1,0,2,67.99,4,15,0
AB_218,0,0,2,1,2,59.99,3,1,0
AB_219,0,0,3,1,3,75.49,7,8,0
AB_220,0,0,1,1,1,64.99,0,10,0
AB_221,0,0,1,1,2,52.99,6,6,1
AB_222,1,65.592,5,1,2,327.96,1,14,1
AB_223,0,0,1,1,1,69.49,4,19,0
AB_224,0,0,1,1,4,69.99,0,31,0
AB_225,0,0,3,0,3,62.49,1,13,0
AB_226,0,0,1,1,6,59.99,0,10,0
AB_227,0,0,3,0,0,0,4,3,0
AB_228,0,0,1,0,2,58.99,7,3,0
AB_229,0,0,1,1,6,56.99,4,10,1
AB_230,0,0,1,0,1,63.49,1,18,0
AB_231,0,0,1,0,0,0,7,13,1
AB_232,0,0,1,1,0,0,3,19,1
AB_233,0,0,2,1,0,0,7,20,0
AB_234,0,0,2,1,0,0,4,13,0
AB_235,0,0,3,0,0,0,7,10,1
AB_236,0,0,3,1,0,0,4,8,1
AB_237,0,0,1,0,1,217.96,4,24,0
AB_238,1,68.792,3,1,9,85.99,4,20,0
AB_239,0,0,3,0,5,39.49,1,11,0
AB_240,0,0,3,1,0,0,7,2,0
AB_241,0,0,3,1,1,109.98,5,20,0
AB_242,0,0,2,1,0,0,0,16,0
AB_243,0,0,1,1,2,74.99,7,12,0
AB_244,1,32.792,1,1,1,40.99,0,17,1
AB_245,0,0,1,1,0,0,6,1,0
AB_246,0,0,1,1,1,73.49,5,9,0
AB_247,1,54.49,2,0,1,108.98,1,13,0
AB_248,0,0,1,0,0,0,0,1,1
AB_249,0,0,2,1,0,0,2,3,0
AB_250,0,0,3,1,0,0,4,7,1
AB_251,0,0,4,0,1,68.99,6,15,0
AB_252,0,0,3,1,0,0,4,2,1
AB_253,0,0,2,1,0,0,5,10,0
AB_254,0,0,2,1,0,0,4,12,1
AB_255,1,38.392,2,1,7,47.99,1,2,0
AB_256,1,49.192,3,1,5,61.49,0,24,0
AB_257,0,0,3,1,1,63.49,0,6,0
AB_258,0,0,2,0,3,48.99,5,14,0
AB_259,0,0,1,1,2,48.99,4,12,0
AB_260,0,0,1,0,1,64.99,6,17,0
AB_261,0,0,3,0,3,77.99,5,19,0
AB_262,0,0,3,1,1,69.99,1,2,1
AB_263,0,0,1,1,0,0,6,18,0
AB_264,0,0,2,1,4,109.98,6,11,0
AB_265,0,0,1,1,3,84.99,5,19,0
AB_266,0,0,4,0,2,57.99,6,4,0
AB_267,0,0,1,0,2,59.99,5,9,0
AB_268,0,0,2,1,0,0,0,21,1
AB_269,0,0,1,0,0,0,2,13,0
AB_270,0,0,3,0,4,82.99,6,19,0
AB_271,0,0,1,1,0,0,0,10,0
AB_272,0,0,5,0,2,40.49,1,2,0
AB_273,0,0,3,0,4,66.49,1,11,0
AB_274,0,0,1,0,0,0,5,16,0
AB_275,0,0,2,1,4,57.99,5,15,1
AB_276,0,0,1,0,0,0,2,21,0
AB_277,0,0,3,1,1,197.97,2,21,0
AB_278,1,69.99,5,0,0,0,3,14,1
AB_279,0,0,4,1,2,48.49,1,17,0
AB_280,0,0,1,1,1,41.99,0,4,1
AB_281,0,0,2,0,0,0,6,16,1
AB_282,0,0,2,1,4,65.99,2,4,1
AB_283,1,70.49,3,0,0,0,2,23,0
AB_284,0,0,1,1,4,55.99,5,22,0
AB_285,0,0,1,0,2,49.99,1,8,0
AB_286,0,0,3,1,3,54.99,4,17,0
AB_287,0,0,3,0,0,0,1,17,0
AB_288,0,0,3,1,0,0,1,24,0
AB_289,0,0,3,1,1,62.99,0,1,1
AB_290,1,62.99,5,0,0,0,6,13,0
AB_291,0,0,3,1,2,83.49,1,11,0
AB_292,0,0,1,0,1,52.49,6,22,0
AB_293,0,0,2,0,1,57.99,7,20,0
AB_294,1,54.392,2,1,1,67.99,0,16,0
AB_295,0,0,1,1,5,66.99,1,1,0
AB_296,0,0,1,0,4,93.98,1,12,1
AB_297,0,0,1,1,0,0,7,21,0
AB_298,0,0,3,1,4,72.99,6,30,0
AB_299,0,0,3,0,0,0,7,17,0
AB_300,0,0,3,0,0,0,4,15,0
AB_301,0,0,2,1,1,66.99,7,24,0
AB_302,0,0,3,0,1,61.99,5,14,0
AB_303,0,0,3,0,0,0,4,3,0
AB_304,0,0,1,1,1,60.99,0,15,0
AB_305,0,0,2,0,7,137.98,2,9,0
AB_306,0,0,1,0,4,55.99,0,3,1
AB_307,0,0,4,0,0,0,5,25,0
AB_308,0,0,1,0,1,45.99,7,23,0
AB_309,0,0,1,0,0,0,7,16,1
AB_310,0,0,1,1,4,65.49,1,9,0
AB_311,0,0,1,0,2,55.99,6,12,0
AB_312,0,0,4,1,1,53.99,0,18,1
AB_313,0,0,1,0,3,57.99,3,21,0
AB_314,0,0,1,1,2,68.49,3,12,1
AB_315,0,0,3,0,1,47.99,0,22,0
AB_316,2,153.98,3,0,9,76.99,1,21,0
AB_317,0,0,1,0,0,0,7,8,1
AB_318,0,0,1,1,0,0,1,15,0
AB_319,1,44.49,1,0,15,44.49,1,13,0
AB_320,1,58.392,2,1,0,0,2,14,1
AB_321,0,0,1,0,0,0,3,16,1
AB_322,0,0,1,1,2,218.97,0,16,0
AB_323,1,45.192,5,1,3,56.49,1,11,1
AB_324,0,0,4,1,1,73.99,6,11,0
AB_325,0,0,1,1,0,0,0,1,1
AB_326,0,0,2,1,0,0,1,10,0
AB_327,0,0,1,1,0,0,5,16,1
AB_328,0,0,1,1,4,279.96,2,11,0
AB_329,0,0,1,1,2,81.49,4,23,0
AB_330,0,0,4,1,1,71.49,7,16,0
AB_331,0,0,2,1,2,50.99,6,22,1
AB_332,0,0,3,1,0,0,6,12,0
AB_333,0,0,1,0,2,60.99,0,2,0
AB_334,0,0,3,1,0,0,6,12,0
AB_335,0,0,3,1,8,64.99,4,12,0
AB_336,0,0,1,0,1,68.99,6,17,0
AB_337,1,67.49,5,0,0,0,1,19,1
AB_338,0,0,1,0,1,72.49,0,24,1
AB_339,0,0,3,1,4,58.99,6,10,0
AB_340,0,0,1,0,2,60.99,2,16,0
AB_341,2,92.784,1,1,8,57.99,6,1,1
AB_342,0,0,1,1,0,0,6,8,1
AB_343,0,0,1,1,0,0,5,21,1
AB_344,0,0,1,0,7,73.49,0,19,0
AB_345,0,0,3,0,0,0,0,23,0
AB_346,0,0,3,1,4,72.99,5,19,0
AB_347,0,0,1,1,0,0,5,24,0
AB_348,0,0,1,0,4,51.49,0,16,0
AB_349,0,0,2,1,1,57.99,6,4,1
AB_350,0,0,3,1,1,81.98,5,18,1
AB_351,0,0,1,0,0,0,5,11,0
AB_352,0,0,1,1,1,51.99,6,20,0
AB_353,0,0,2,1,1,63.99,0,2,0
AB_354,0,0,3,0,0,0,2,18,1
AB_355,0,0,3,1,2,59.99,5,24,0
AB_356,1,58.392,1,1,2,72.99,1,15,0
AB_357,0,0,1,0,1,70.49,4,19,0
AB_358,0,0,2,0,2,61.99,5,11,0
AB_359,0,0,3,1,0,0,1,21,0
AB_360,1,58.792,4,1,6,73.49,6,1,1
AB_361,0,0,2,1,2,51.99,1,20,0
AB_362,0,0,1,1,0,0,5,20,0
AB_363,0,0,2,0,6,70.49,6,9,0
AB_364,0,0,1,0,1,73.49,3,19,0
AB_365,0,0,2,1,11,58.99,0,1,0
AB_366,0,0,3,1,4,63.99,3,21,0
AB_367,0,0,1,0,0,0,7,14,0
AB_368,0,0,3,0,1,52.99,0,22,0
AB_369,0,0,1,0,7,48.99,5,17,0
AB_370,0,0,3,1,3,119.98,1,13,1
AB_371,0,0,1,0,0,0,7,14,0
AB_372,0,0,2,1,1,230.97,2,26,0
AB_373,0,0,3,1,0,0,2,1,1
AB_374,0,0,2,1,3,65.49,4,17,0
AB_375,0,0,3,1,0,0,5,8,0
AB_376,0,0,2,1,0,0,2,10,1
AB_377,0,0,1,1,1,65.49,2,21,0
AB_378,0,0,2,0,0,0,6,19,0
AB_379,0,0,2,0,4,127.98,2,10,1
AB_380,0,0,1,0,2,49.99,5,18,1
AB_381,0,0,1,1,2,65.49,6,5,1
AB_382,0,0,1,0,2,184.47,0,16,1
AB_383,0,0,4,1,2,148.98,3,15,0
AB_384,0,0,3,0,2,69.99,4,20,0
AB_385,0,0,3,0,3,53.49,1,8,1
AB_386,0,0,1,1,2,60.99,0,19,0
AB_387,0,0,1,1,0,0,0,24,1
AB_388,0,0,1,1,2,83.98,1,1,1
AB_389,0,0,4,1,0,0,4,10,0
AB_390,1,60.49,3,0,5,60.49,0,10,0
AB_391,2,114.98,3,0,2,172.47,1,18,0
AB_392,0,0,3,0,2,36.99,7,1,0
AB_393,0,0,1,0,1,68.99,4,27,0
AB_394,0,0,2,1,1,233.97,7,1,1
AB_395,0,0,1,1,2,52.99,4,17,0
AB_396,0,0,2,0,0,0,7,14,0
AB_397,0,0,2,1,3,44.99,0,13,0
AB_398,0,0,1,1,6,135.98,5,3,1
AB_399,0,0,2,1,0,0,4,24,0
AB_400,1,60.392,2,1,10,75.49,2,12,0
AB_401,0,0,3,1,0,0,7,8,0
AB_402,0,0,1,0,4,76.99,6,22,1
AB_403,0,0,2,1,3,62.99,0,15,0
AB_404,0,0,1,1,0,0,0,19,1
AB_405,0,0,1,1,3,73.99,0,14,0
AB_406,0,0,1,0,1,75.49,3,17,0
AB_407,0,0,3,0,0,0,6,13,0
AB_408,0,0,1,1,2,61.99,5,10,1
AB_409,1,39.192,3,1,0,0,1,24,0
AB_410,0,0,4,0,0,0,0,10,0
AB_411,0,0,3,1,3,82.49,1,16,0
AB_412,0,0,1,0,1,69.49,6,10,1
AB_413,0,0,1,0,0,0,5,11,0
AB_414,0,0,2,1,2,39.99,2,7,0
AB_415,0,0,1,1,1,41.99,2,30,0
AB_416,0,0,3,0,0,0,6,22,1
AB_417,0,0,3,0,6,59.99,1,19,1
AB_418,0,0,1,1,0,0,0,7,0
AB_419,0,0,2,1,0,0,4,19,0
AB_420,2,107.184,2,1,9,133.98,1,12,0
AB_421,0,0,2,1,2,61.99,1,25,0
AB_422,0,0,3,0,1,59.99,0,16,0
AB_423,0,0,3,0,0,0,5,19,0
AB_424,0,0,1,0,0,0,1,15,0
AB_425,0,0,1,0,5,169.47,4,17,0
AB_426,0,0,2,0,1,60.49,0,7,1
AB_427,0,0,2,1,5,57.99,6,3,1
AB_428,0,0,1,0,3,67.49,4,24,0
AB_429,0,0,3,0,0,0,2,15,0
AB_430,0,0,3,0,1,209.97,1,8,0
AB_431,0,0,3,1,3,54.99,2,6,1
AB_432,0,0,1,1,3,60.49,0,15,0
AB_433,0,0,3,1,5,223.96,5,9,0
AB_434,0,0,2,0,0,0,0,9,1
AB_435,0,0,3,1,0,0,5,4,0
AB_436,0,0,3,1,0,0,4,1,1
AB_437,0,0,1,1,0,0,7,18,0
AB_438,0,0,1,1,3,255.96,5,1,1
AB_439,0,0,3,0,1,61.99,1,22,0
AB_440,0,0,1,1,0,0,4,14,0
AB_441,0,0,3,1,7,59.49,4,18,0
AB_442,0,0,1,0,2,69.99,2,10,1
AB_443,0,0,1,0,3,60.99,5,15,0
AB_444,0,0,1,1,0,0,0,12,0
AB_445,0,0,5,1,0,0,4,8,0
AB_446,0,0,1,0,7,194.97,0,19,0
AB_447,0,0,3,0,3,113.98,0,15,0
AB_448,0,0,4,0,3,56.99,7,12,0
AB_449,0,0,2,1,0,0,7,18,1
AB_450,0,0,2,1,2,50.49,7,19,0
AB_451,0,0,1,1,1,46.99,5,17,0
AB_452,0,0,1,0,6,179.97,6,12,0
AB_453,0,0,1,0,3,178.47,6,18,0
AB_454,1,40.792,3,1,5,50.99,5,6,0
AB_455,0,0,3,1,1,92.98,5,20,0
AB_456,0,0,1,1,0,0,3,25,0
AB_457,0,0,3,0,2,57.99,1,2,0
AB_458,0,0,5,0,0,0,5,2,1
AB_459,0,0,3,1,2,205.47,6,10,1
AB_460,0,0,1,0,0,0,1,5,0
AB_461,0,0,3,0,1,60.99,0,12,0
AB_462,0,0,2,1,6,122.98,4,21,0
AB_463,0,0,3,1,1,55.49,6,19,1
AB_464,0,0,1,1,2,59.99,0,20,0
AB_465,0,0,1,0,2,69.99,1,20,1
AB_466,1,46.392,3,1,3,57.99,2,17,1
AB_467,0,0,3,1,1,45.49,6,8,0
AB_468,0,0,3,1,0,0,0,20,0
AB_469,0,0,3,0,2,66.99,6,16,0
AB_470,1,53.592,4,1,2,66.99,0,5,1
AB_471,0,0,2,0,0,0,2,1,1
AB_472,0,0,1,1,1,211.47,7,6,1
AB_473,0,0,1,0,0,0,2,23,0
AB_474,1,56.392,2,1,1,70.49,1,19,1
AB_475,0,0,2,1,1,69.99,5,20,0
AB_476,0,0,5,0,8,64.99,5,5,0
AB_477,0,0,2,1,0,0,0,8,0
AB_478,0,0,1,1,2,135.98,0,11,0
AB_479,0,0,1,0,0,0,7,1,0
AB_480,0,0,5,0,3,184.47,6,13,1
AB_481,0,0,1,0,2,70.49,0,4,1
AB_482,1,53.99,1,0,9,107.98,4,6,0
AB_483,0,0,3,1,7,131.98,5,25,0
AB_484,0,0,2,0,1,155.97,5,18,0
AB_485,0,0,3,0,0,0,2,18,0
AB_486,0,0,2,0,2,54.99,2,11,0
AB_487,0,0,1,1,2,71.99,3,7,1
AB_488,0,0,1,1,1,71.99,1,3,0
AB_489,0,0,3,0,0,0,2,10,1
AB_490,0,0,3,1,1,125.98,7,14,1
AB_491,0,0,1,0,3,239.96,5,23,0
AB_492,0,0,3,1,3,59.99,1,15,0
AB_493,0,0,1,0,8,67.99,4,26,0
AB_494,1,56.49,2,0,6,169.47,0,19,1
AB_495,0,0,1,1,0,0,4,10,0
AB_496,1,43.592,3,1,7,163.47,5,3,1
AB_497,0,0,1,1,1,67.49,1,18,0
AB_498,1,38.392,4,1,4,47.99,2,13,1
AB_499,0,0,3,0,0,0,4,12,0
AB_500,0,0,3,0,0,0,2,21,0
AB_501,0,0,3,0,0,0,4,1,0
AB_502,0,0,1,1,1,54.99,6,25,0
AB_503,0,0,1,0,2,58.99,0,22,1
AB_504,0,0,1,1,1,53.49,7,15,0
AB_505,0,0,2,1,3,146.98,2,8,0
AB_506,0,0,5,1,3,60.99,1,22,0
AB_507,0,0,1,1,2,77.99,6,11,0
AB_508,0,0,3,1,0,0,6,2,1
AB_509,0,0,1,0,4,125.98,2,16,0
AB_510,0,0,3,0,0,0,2,19,0
AB_511,0,0,2,0,0,0,0,14,0
AB_512,0,0,2,1,1,56.99,1,7,0
AB_513,0,0,3,1,0,0,1,18,1
AB_514,0,0,2,1,5,51.49,7,4,1
AB_515,0,0,3,0,0,0,2,18,0
AB_516,1,61.99,5,0,3,123.98,2,23,1
AB_517,0,0,2,0,1,52.49,4,25,1
AB_518,0,0,1,0,2,58.99,4,1,0
AB_519,0,0,1,0,3,82.99,5,7,1
AB_520,0,0,2,0,0,0,0,15,0
AB_521,0,0,1,1,1,68.49,4,20,0
AB_522,0,0,1,1,1,63.99,6,16,0
AB_523,2,110.384,2,1,5,68.99,4,27,0
AB_524,0,0,1,0,0,0,7,26,0
AB_525,0,0,1,1,1,52.99,6,6,1
AB_526,0,0,3,1,0,0,5,17,0
AB_527,0,0,1,0,0,0,1,7,0
AB_528,0,0,1,1,0,0,7,15,1
AB_529,0,0,4,0,0,0,2,27,0
AB_530,0,0,3,1,1,50.99,5,12,0
AB_531,0,0,2,1,7,58.99,6,15,1
AB_532,0,0,2,0,0,0,7,15,0
AB_533,0,0,1,1,4,54.49,7,24,0
AB_534,0,0,3,0,5,63.99,0,25,0
AB_535,0,0,1,0,2,125.97,2,24,0
AB_536,0,0,2,1,0,0,0,27,0
AB_537,0,0,2,1,1,64.99,1,15,0
AB_538,0,0,1,0,0,0,6,18,0
AB_539,2,137.98,1,0,6,137.98,6,24,1
AB_540,0,0,3,0,3,51.99,5,10,1
AB_541,0,0,4,1,5,54.99,2,4,0
AB_542,0,0,1,1,3,218.97,5,16,0
AB_543,0,0,3,1,1,70.99,2,22,0
AB_544,1,43.992,3,1,0,0,5,23,1
AB_545,0,0,1,1,1,61.49,0,2,0
AB_546,0,0,1,0,1,45.49,3,2,0
AB_547,0,0,1,0,1,76.49,5,6,1
AB_548,0,0,1,0,3,46.99,3,11,0
AB_549,2,116.98,4,0,4,58.49,1,15,0
AB_550,1,57.992,2,1,0,0,5,12,1
AB_551,0,0,3,0,1,61.99,1,23,0
AB_552,0,0,3,1,3,73.99,0,16,0
AB_553,0,0,1,1,5,137.98,0,25,0
AB_554,0,0,1,1,1,153.98,7,10,0
AB_555,0,0,1,0,2,62.49,2,14,0
AB_556,0,0,2,1,6,63.99,6,23,0
AB_557,0,0,1,1,2,182.97,2,4,0
AB_558,0,0,3,1,1,150.98,0,23,0
AB_559,0,0,1,1,4,64.49,5,14,0
AB_560,0,0,1,1,0,0,2,18,0
AB_561,0,0,1,1,0,0,0,13,0
AB_562,0,0,4,1,2,56.49,1,9,0
AB_563,0,0,3,0,6,53.49,0,23,0
AB_564,0,0,1,0,3,58.99,7,11,1
AB_565,0,0,3,1,0,0,6,16,0
